,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
10935,31404,Netoge no Yome wa Onnanoko ja Nai to Omotta?,6.83,"['Game', 'Comedy', 'Romance', 'Ecchi', 'School']",TV,12.0,Spring 2016,"['Sotsu', 'AT-X', 'Barnum Studio', 'DAX Production', 'ASCII Media Works', 'NBCUniversal Entertainment Japan', 'i0+', 'Medicos Entertainment', 'Radio Osaka']",['Funimation'],['Project No.9'],Light novel,24.0,PG13,4293.0,348,383098,20036,Spring,2016.0,5.2299933698427035,One Season
10936,31405,Joker Game,7.06,"['Military', 'Historical', 'Drama']",TV,12.0,Spring 2016,"['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Sony Music Communications', 'Hakuhodo DY Music & Pictures', 'Sammy']","['Funimation', 'Crunchyroll']",['Production I.G'],Novel,23.0,R,3390.0,835,179990,18906,Spring,2016.0,10.503916884271348,One Season
10939,31417,Binan Koukou Chikyuu Boueibu LOVE! LOVE!,7.05,"['Slice of Life', 'Comedy', 'Parody', 'Magic', 'School']",TV,12.0,Summer 2016,"['Sotsu', 'Pony Canyon']",['Ponycan USA'],['Studio Comet'],Original,24.0,PG13,3451.0,3328,24302,1656,Summer,2016.0,6.814253970866595,One Season
10941,31422,Minami Kamakura Koukou Joshi Jitenshabu,6.25,"['Sports', 'School', 'Shounen']",TV,12.0,Winter 2017,"['Genco', 'AT-X', 'Exit Tunes', 'Duckbill Entertainment', 'Shanghai Tiantan Culture & Media', 'NADA Holdings', 'My Theater D.D.', 'Crunchyroll SC Anime Fund']",,"['J.C.Staff', 'A.C.G.T.']",Manga,23.0,PG13,7128.0,3944,16918,2459,Winter,2017.0,14.534814989951531,One Season
10945,31430,Terra Formars: Revenge,6.73,"['Action', 'Sci-Fi', 'Space', 'Horror', 'Drama', 'Seinen']",TV,13.0,Spring 2016,"['Warner Bros. Japan', 'Ultra Super Pictures', 'MAGES.', 'Good Smile Company', 'Shueisha', 'Kyoraku Industrial Holdings', 'Animatic']",['VIZ Media'],"['TYO Animations', 'LIDENFILMS']",Manga,24.0,R,4772.0,1746,74985,6336,Spring,2016.0,8.449689937987598,One Season
10946,31433,Ginga Eiyuu Densetsu: Die Neue These - Kaikou,7.7,"['Action', 'Drama', 'Military', 'Sci-Fi', 'Space']",TV,12.0,Spring 2018,['Shochiku'],['Funimation'],['Production I.G'],Novel,25.0,R,1030.0,1928,63633,3301,Spring,2018.0,5.187559913881162,One Season
10950,31442,Musaigen no Phantom World,6.89,"['Action', 'Comedy', 'Fantasy', 'Slice of Life', 'Supernatural']",TV,13.0,Winter 2016,"['Lantis', 'Pony Canyon', 'Asahi Broadcasting']","['Funimation', 'Crunchyroll']",['Kyoto Animation'],Light novel,24.0,PG13,4101.0,342,392009,28696,Winter,2016.0,7.320240096528396,One Season
10954,31452,Norn9: Norn+Nonet,6.56,"['Sci-Fi', 'Adventure', 'Romance', 'Fantasy', 'Josei']",TV,12.0,Winter 2016,"['Frontier Works', 'Sotsu', 'AT-X', 'Orange', 'NBCUniversal Entertainment Japan', 'Tokyo MX', 'i0+', 'famima.com', 'Hakuhodo DY Music & Pictures', 'Docomo Anime Store', 'TEAM Entertainment Inc.', 'Chugai Mining', 'Medicos Entertainment', 'Toshiba Digital Frontiers']",['Sentai Filmworks'],['Kinema Citrus'],Visual novel,24.0,PG13,5574.0,1798,71268,8095,Winter,2016.0,11.358533984396924,One Season
10956,31456,Code:Realize - Sousei no Himegimi,6.65,"['Military', 'Harem', 'Historical', 'Romance', 'Fantasy', 'Josei']",TV,12.0,Fall 2017,"['Frontier Works', 'Lantis', 'AT-X', 'DAX Production', 'Asmik Ace', 'Sony Music Communications', 'Hakuhodo DY Music & Pictures', 'Chugai Mining', 'Kadokawa']",['Funimation'],['M.S.C'],Visual novel,23.0,PG13,5120.0,1872,66070,7775,Fall,2017.0,11.767822006962312,One Season
10963,31478,Bungou Stray Dogs,7.79,"['Action', 'Comedy', 'Mystery', 'Seinen', 'Super Power', 'Supernatural']",TV,12.0,Spring 2016,"['Lantis', 'Movic', 'KlockWorx', 'Bandai Namco Live Creative', 'Glovision', 'Lawson HMV Entertainment', 'Sony PCL']","['Funimation', 'Crunchyroll']",['Bones'],Manga,23.0,R,838.0,107,792435,26306,Spring,2016.0,3.319641358597235,One Season
10973,31500,High School Fleet,7.3,"['Action', 'Military', 'School']",TV,12.0,Spring 2016,"['Aniplex', 'Half H.P Studio', 'Asmik Ace', 'Graphinica', 'BS11', 'Contents Seed', 'Cromea', 'Akatsuki']",['Aniplex of America'],['Production IMS'],Original,24.0,PG13,2356.0,1580,85720,4414,Spring,2016.0,5.149323378441437,One Season
10994,31549,Peeping Life TV: Season 1??,5.68,"['Comedy', 'Slice of Life']",TV,12.0,Fall 2015,,,"['Tatsunoko Production', 'CoMix Wave Films', 'FOREST Hunting One']",,23.0,G,9205.0,8562,2218,694,Fall,2015.0,31.28944995491434,One Season
10999,31559,Prince of Stride: Alternative,6.91,"['Sports', 'Drama', 'School']",TV,12.0,Winter 2016,['Media Factory'],['Funimation'],['Madhouse'],Visual novel,24.0,PG13,3958.0,1029,144075,14574,Winter,2016.0,10.115564809994794,One Season
11004,31564,Sansha Sanyou,7.12,"['Slice of Life', 'Comedy', 'School']",TV,12.0,Spring 2016,"['AT-X', 'DAX Production', 'Houbunsha', 'TOHO animation', 'RAY']",['Funimation'],['Doga Kobo'],4-koma manga,24.0,PG13,3134.0,2187,53242,2997,Spring,2016.0,5.629014687652605,One Season
11007,31573,Brave Beats,6.44,"['Adventure', 'Music']",TV,22.0,Fall 2015,,,['Bandai Namco Pictures'],Original,23.0,G,6209.0,7162,3906,724,Fall,2015.0,18.535586277521762,Two Season
11010,31580,Ajin,7.49,"['Action', 'Mystery', 'Horror', 'Supernatural', 'Seinen']",TV,13.0,Winter 2016,"['Mainichi Broadcasting System', 'Kodansha', 'KlockWorx', 'Sony Music Communications', 'TOHO animation', 'King Records']",['Sentai Filmworks'],['Polygon Pictures'],Manga,24.0,R,1604.0,290,446881,24267,Winter,2016.0,5.430304711992679,One Season
11018,31588,All Out!!,7.09,"['School', 'Seinen', 'Sports']",TV,25.0,Fall 2016,"['Telecom Animation Film', 'Mainichi Broadcasting System', 'Kodansha', 'Asmik Ace', 'Sony Music Entertainment', 'TMS Music']","['Funimation', 'Crunchyroll']","['Madhouse', 'TMS Entertainment']",Manga,24.0,PG13,3243.0,1534,89453,10090,Fall,2016.0,11.279666417001106,Two Season
11019,31592,Pokemon XY&Z,7.63,"['Action', 'Adventure', 'Comedy', 'Kids', 'Fantasy']",TV,47.0,Fall 2015,,['The Pokemon Company International'],['OLM'],Game,23.0,PG,1199.0,1640,82010,2464,Fall,2015.0,3.004511644921351,Four or more Season
11026,31610,Kyoukai no Rinne (TV) 2nd Season,7.18,"['Comedy', 'Supernatural', 'Romance', 'School', 'Shounen']",TV,25.0,Spring 2016,"['Shogakukan-Shueisha Productions', 'NHK', 'Shogakukan']",['Sentai Filmworks'],"[""Brain's Base""]",Manga,24.0,PG13,2859.0,3004,29583,1479,Spring,2016.0,4.999492952033262,Two Season
11031,31629,Granblue Fantasy The Animation,6.7,"['Adventure', 'Fantasy']",TV,13.0,Spring 2017,"['Aniplex', 'Tohokushinsha Film Corporation', 'Cygames']",['Aniplex of America'],['A-1 Pictures'],Game,23.0,PG13,4891.0,1023,144869,11733,Spring,2017.0,8.099041202741788,One Season
11032,31630,"Gyakuten Saiban: Sono ""Shinjitsu"", Igi Ari!",6.45,"['Comedy', 'Drama', 'Mystery', 'Police']",TV,24.0,Spring 2016,"['Aniplex', 'Yomiuri Telecasting', 'Capcom', 'Trinity Sound']","['Funimation', 'Crunchyroll']",['A-1 Pictures'],Game,24.0,PG13,6182.0,1322,107475,22473,Spring,2016.0,20.909979064898813,Two Season
11033,31631,Monster Hunter Stories: Ride On,6.21,['Fantasy'],TV,75.0,Fall 2016,"['Dentsu', 'Fuji TV', 'Capcom', 'Fuji Creative']",['Funimation'],['David Production'],Game,24.0,PG13,7330.0,4378,13267,3083,Fall,2016.0,23.2381095952363,Four or more Season
11036,31636,Dagashi Kashi,6.63,"['Comedy', 'Shounen', 'Slice of Life']",TV,12.0,Winter 2016,"['Pony Canyon', 'TBS', 'DAX Production', 'BS-TBS', 'Shogakukan', 'Lawson', 'RAY', 'U-NEXT', 'Nichion']",['Funimation'],['feel.'],Manga,24.0,PG13,5245.0,400,337656,37302,Winter,2016.0,11.047338119269314,One Season
11037,31637,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2nd Season",7.77,"['Action', 'Military', 'Adventure', 'Fantasy']",TV,12.0,Winter 2016,"['Genco', 'Warner Bros. Japan', 'KlockWorx', 'Showgate', 'Bandai Namco Games']",['Sentai Filmworks'],['A-1 Pictures'],Light novel,23.0,R,880.0,322,413838,6532,Winter,2016.0,1.5783954107645988,One Season
11046,31646,3-gatsu no Lion,8.43,"['Drama', 'Game', 'Seinen', 'Slice of Life']",TV,22.0,Fall 2016,"['Aniplex', 'Dentsu', 'NHK', 'Hakusensha', 'Asmik Ace', ""Toy's Factory""]",['Aniplex of America'],['Shaft'],Manga,25.0,PG13,134.0,280,461713,15817,Fall,2016.0,3.425721173109703,Two Season
11055,31670,Kaitou Joker 3rd Season,7.19,"['Adventure', 'Comedy', 'Mystery', 'Shounen']",TV,13.0,Spring 2016,"['Vega Entertainment', 'Asatsu DK', 'Kids Station', 'Half H.P Studio', 'Tokyo MX']",,['Shin-Ei Animation'],Manga,24.0,PG,2827.0,7153,3919,173,Spring,2016.0,4.414391426384282,One Season
11062,31680,Super Lovers,7.08,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shounen Ai']",TV,10.0,Spring 2016,"['Kadokawa Shoten', 'DAX Production', 'Nippon Columbia']","['Funimation', 'Crunchyroll']",['Studio Deen'],Manga,24.0,PG13,3280.0,1368,103020,6165,Spring,2016.0,5.984274898078043,One Season
11070,31691,San Mao Liu Lang Ji,,"['Comedy', 'Historical', 'Kids']",TV,25.0,,,,,,25.0,G,11806.0,15247,180,44,,,24.444444444444443,Two Season
11071,31692,Gogulyeoui Jeolm-eun Musadeul,,['Historical'],TV,7.0,,,,,,27.0,,14156.0,16459,116,34,,,29.310344827586203,One Season
11077,31698,Zhan Long Si Qu,,"['Kids', 'Cars']",TV,64.0,,['Alpha Group Co. Ltd.'],,,,24.0,G,13090.0,13324,316,63,,,19.936708860759495,Four or more Season
11079,31700,Xiao Taiji,,"['Action', 'Kids', 'Martial Arts']",TV,14.0,,,,,,22.0,G,12902.0,15493,165,55,,,33.33333333333333,One Season
11080,31701,Wu Lan Qi Qi Ge,,"['Historical', 'Kids']",TV,26.0,,,,,,22.0,G,12878.0,15736,152,48,,,31.57894736842105,Two Season
11082,31706,Fate/kaleid liner Prisma☆Illya 3rei!!,7.55,"['Action', 'Comedy', 'Fantasy', 'Magic']",TV,12.0,Summer 2016,"['Lantis', 'Kadokawa Shoten', 'AT-X', 'DAX Production', 'KlockWorx', 'Tokyo MX', 'Kadokawa Media House', 'Plus One']",,['SILVER LINK.'],Manga,24.0,PG13,1426.0,1488,93262,1441,Summer,2016.0,1.5451094765284896,One Season
11083,31710,Divine Gate,5.6,"['Action', 'Sci-Fi', 'Fantasy']",TV,12.0,Winter 2016,,['Funimation'],['Studio Pierrot'],Game,23.0,PG13,9405.0,1030,144029,24382,Winter,2016.0,16.928535225544856,One Season
11086,31716,Rewrite,6.69,"['Action', 'Comedy', 'Supernatural', 'Romance', 'School']",TV,13.0,Summer 2016,"['Aniplex', 'Mainichi Broadcasting System', 'Movic', ""Visual Art's"", 'Magic Capsule', 'ASCII Media Works', 'Bushiroad', 'Tokyo MX', 'BS11', 'Lawson']",,['8bit'],Visual novel,24.0,PG13,4931.0,872,170193,12694,Summer,2016.0,7.4585911288948425,One Season
11087,31722,Nanatsu no Taizai: Seisen no Shirushi,7.12,"['Action', 'Adventure', 'Ecchi', 'Fantasy', 'Magic', 'Shounen', 'Supernatural']",TV,4.0,Summer 2016,"['Aniplex', 'Dentsu', 'Kodansha', 'Movic']",,['A-1 Pictures'],Manga,24.0,PG13,3140.0,262,475981,4083,Summer,2016.0,0.8578073494530244,One Season
11089,31733,Bishoujo Senshi Sailor Moon Crystal Season III,7.72,"['Demons', 'Magic', 'Romance', 'Shoujo']",TV,13.0,Spring 2016,"['Starchild Records', 'Kodansha']",['VIZ Media'],['Toei Animation'],Manga,24.0,PG13,970.0,2502,41548,834,Spring,2016.0,2.007316838355637,One Season
11091,31737,Gakusen Toshi Asterisk 2nd Season,7.08,"['Sci-Fi', 'Harem', 'Comedy', 'Supernatural', 'Romance', 'Ecchi', 'Fantasy', 'School']",TV,12.0,Spring 2016,"['Aniplex', 'Animax', 'Movic', 'flying DOG', 'Bandai Namco Entertainment', 'Asahi Broadcasting']",['Aniplex of America'],['A-1 Pictures'],Light novel,24.0,PG13,3306.0,438,316957,6970,Spring,2016.0,2.1990364623592473,One Season
11094,31741,Magi: Sinbad no Bouken (TV),7.91,"['Action', 'Adventure', 'Fantasy', 'Magic', 'Shounen']",TV,13.0,Spring 2016,"['Aniplex', 'Mainichi Broadcasting System', 'Shogakukan']",,['Lay-duce'],Manga,24.0,PG13,664.0,394,343441,5484,Spring,2016.0,1.5967808153365497,One Season
11109,31764,Nejimaki Seirei Senki: Tenkyou no Alderamin,7.73,"['Action', 'Adventure', 'Fantasy', 'Military']",TV,13.0,Summer 2016,"['Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'ASCII Media Works', 'BS Fuji', 'Imagine']","['Funimation', 'Crunchyroll']",['Madhouse'],Light novel,23.0,R,949.0,589,245963,6952,Summer,2016.0,2.82644137532881,One Season
11112,31771,Amanchu!,7.27,"['Slice of Life', 'Comedy', 'School', 'Shounen']",TV,12.0,Summer 2016,"['Production I.G', 'Frontier Works', 'Shochiku', 'AT-X', 'flying DOG', 'Tokyo MX', 'Mag Garden']",,['J.C.Staff'],Manga,23.0,PG13,2483.0,1659,80435,6354,Summer,2016.0,7.899546217442656,One Season
11116,31783,Yowamushi Pedal: New Generation,7.69,"['Comedy', 'Sports', 'Drama', 'Shounen']",TV,25.0,Winter 2017,"['TV Tokyo', 'Shogakukan-Shueisha Productions', 'TOHO animation', 'Akita Shoten']",,['TMS Entertainment'],Manga,23.0,PG13,1067.0,2007,59843,1728,Winter,2017.0,2.8875557709339437,Two Season
11120,31790,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari,5.88,"['Comedy', 'Mecha', 'Police', 'Sci-Fi']",TV,12.0,Winter 2016,"['Sotsu', 'Magic Capsule', 'flying DOG', 'Fields']",,"['Production IMS', 'Orange']",Original,24.0,PG13,8581.0,2167,53679,11387,Winter,2016.0,21.21313735352745,One Season
11123,31798,Kiznaiver,7.43,"['Sci-Fi', 'Drama', 'Romance']",TV,12.0,Spring 2016,"['Aniplex', 'Movic', 'Ultra Super Pictures', 'Sammy', 'Asahi Broadcasting', 'BS11']","['Aniplex of America', 'Crunchyroll']",['Trigger'],Original,24.0,PG13,1810.0,213,540306,22798,Spring,2016.0,4.219460824051556,One Season
11124,31804,Kuma Miko,6.3,"['Slice of Life', 'Comedy', 'Seinen']",TV,12.0,Spring 2016,"['AT-X', 'Sony Music Communications']",['Funimation'],"['Kinema Citrus', 'EMT Squared']",Manga,24.0,PG13,6888.0,1893,65017,8135,Spring,2016.0,12.512112216804836,One Season
11129,31821,Arslan Senki (TV): Fuujin Ranbu,7.53,"['Action', 'Adventure', 'Historical', 'Supernatural', 'Drama', 'Fantasy', 'Shounen']",TV,8.0,Summer 2016,"['Mainichi Broadcasting System', 'Magic Capsule', 'Ultra Super Pictures', 'Graphinica', 'NBCUniversal Entertainment Japan']",['Funimation'],['LIDENFILMS'],Manga,24.0,PG13,1484.0,1252,116095,1842,Summer,2016.0,1.5866316378827683,One Season
11138,31845,Masou Gakuen HxH,6.18,"['Action', 'Sci-Fi', 'Harem', 'Comedy', 'Romance', 'Ecchi', 'Fantasy', 'School']",TV,12.0,Summer 2016,"['Kadokawa Shoten', 'AT-X', 'DAX Production', 'KBS', 'KlockWorx', 'flying DOG', 'Kadokawa Media House', 'Sun TV', 'TV Saitama', 'Chiba TV']","['Funimation', 'Crunchyroll']",['Production IMS'],Light novel,24.0,R+,7463.0,717,205337,16167,Summer,2016.0,7.873398364639593,One Season
11143,31859,Hai to Gensou no Grimgar,7.69,"['Action', 'Adventure', 'Drama', 'Fantasy']",TV,12.0,Winter 2016,['TOHO animation'],['Funimation'],['A-1 Pictures'],Light novel,24.0,PG13,1061.0,215,537777,20498,Winter,2016.0,3.8116170829172686,One Season
11156,31884,Mahoutsukai Precure!,7.08,"['Action', 'Slice of Life', 'Magic', 'Fantasy', 'School', 'Shoujo']",TV,50.0,Winter 2016,['ABC Animation'],,['Toei Animation'],Original,24.0,G,3314.0,5006,9476,753,Winter,2016.0,7.946390882228789,Four or more Season
11159,31890,Nurse Witch Komugi-chan R,5.95,"['Comedy', 'Magic', 'Parody']",TV,12.0,Winter 2016,"['VAP', 'Nippon Television Network']",['Sentai Filmworks'],['Tatsunoko Production'],Original,22.0,PG13,8377.0,4770,10772,1782,Winter,2016.0,16.54288897140735,One Season
11160,31892,The Legend of Huainanzi,,"['Adventure', 'Fantasy', 'Historical']",TV,26.0,,['CCTV Animation'],,,Other,22.0,G,12461.0,13519,296,36,,,12.162162162162163,Two Season
11161,31893,The Legend of Huainanzi 2nd Season,,"['Adventure', 'Fantasy', 'Historical']",TV,26.0,,['CCTV Animation'],,,Other,22.0,G,12478.0,15193,184,36,,,19.565217391304348,Two Season
11165,31904,Big Order (TV),5.4,"['Action', 'Shounen', 'Super Power']",TV,10.0,Spring 2016,"['Lantis', 'Rakuonsha', 'KlockWorx']",['Crunchyroll'],['Asread'],Manga,24.0,R+,9909.0,841,178199,20862,Spring,2016.0,11.707136403683522,One Season
11170,31914,Shoujo-tachi wa Kouya wo Mezasu,6.33,['School'],TV,12.0,Winter 2016,"['Sotsu', 'Lantis', 'Magic Capsule', 'Warner Bros. Japan', 'KlockWorx', 'Cospa', 'ASCII Media Works', 'Hawkeye']",['Sentai Filmworks'],"['Barnum Studio', 'Project No.9']",Visual novel,24.0,PG13,6742.0,1418,97928,10922,Winter,2016.0,11.153092067641532,One Season
11178,31931,Full Metal Panic! Invisible Victory,7.6,"['Action', 'Mecha', 'Military']",TV,12.0,Spring 2018,,['Funimation'],['Xebec'],Light novel,24.0,R,1281.0,1730,76075,1648,Spring,2018.0,2.166283273085771,One Season
11179,31933,JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,8.51,"['Action', 'Adventure', 'Comedy', 'Supernatural', 'Drama', 'Shounen']",TV,39.0,Spring 2016,"['Warner Bros. Japan', 'KlockWorx', 'Medicos Entertainment', 'Shueisha']",['VIZ Media'],['David Production'],Manga,23.0,R,100.0,163,625022,6220,Spring,2016.0,0.9951649701930493,Three Season
11183,31952,Kono Bijutsubu ni wa Mondai ga Aru!,7.26,"['Comedy', 'Romance', 'School', 'Seinen']",TV,12.0,Summer 2016,"['TBS', 'DAX Production', 'ASCII Media Works', 'King Records']",['Maiden Japan'],['feel.'],Manga,24.0,PG13,2531.0,690,213851,8160,Summer,2016.0,3.8157408663041092,One Season
11184,31953,New Game!,7.62,"['Game', 'Slice of Life', 'Comedy']",TV,12.0,Summer 2016,"['Frontier Works', 'Kadokawa Shoten', 'Movic', 'AT-X', 'Delfi Sound', 'Sony Music Communications', 'Houbunsha', 'MAGES.', 'Lawson']","['Funimation', 'Crunchyroll']",['Doga Kobo'],4-koma manga,24.0,PG13,1210.0,406,333461,11778,Summer,2016.0,3.5320472259124753,One Season
11185,31964,Boku no Hero Academia,8.11,"['Action', 'Comedy', 'School', 'Shounen', 'Super Power']",TV,13.0,Spring 2016,"['Dentsu', 'Mainichi Broadcasting System', 'Movic', 'TOHO animation', 'Shueisha']",['Funimation'],['Bones'],Manga,24.0,PG13,400.0,6,1909814,19212,Spring,2016.0,1.0059618371213113,One Season
11196,31988,Hibike! Euphonium 2,8.3,"['Music', 'School', 'Drama']",TV,13.0,Fall 2016,"['Lantis', 'Pony Canyon', 'Rakuonsha']",['Ponycan USA'],['Kyoto Animation'],Novel,23.0,PG13,228.0,906,164555,2894,Fall,2016.0,1.758682507368357,One Season
11209,32023,Bubuki Buranki,6.3,"['Action', 'Sci-Fi', 'Drama', 'Mecha']",TV,12.0,Winter 2016,"['Dentsu', 'AT-X', 'Ultra Super Pictures', 'Sony Music Communications', 'Bushiroad', 'Sammy', 'Kadokawa Media (Taiwan)', 'Tose']",,['SANZIGEN'],Original,24.0,PG13,6867.0,1851,66693,11525,Winter,2016.0,17.28067413371718,One Season
11213,32032,Seikaisuru Kado,6.81,['Sci-Fi'],TV,12.0,Spring 2017,['Kinoshita Group Holdings'],['Funimation'],['Toei Animation'],Original,23.0,PG13,4391.0,1473,93940,7924,Spring,2017.0,8.435171385991058,One Season
11215,32038,Show By Rock!! #,7.03,"['Music', 'Comedy']",TV,12.0,Fall 2016,"['Shochiku', 'Pony Canyon', 'Sanrio', 'Studio GOONEYS']",['Funimation'],['Bones'],Game,23.0,PG13,3543.0,3334,24089,1001,Fall,2016.0,4.155423637344846,One Season
11226,32083,Luck & Logic,6.1,"['Action', 'Fantasy']",TV,12.0,Winter 2016,"['Bandai Visual', 'Lantis', 'Bushiroad', 'Yuhodo']",['Funimation'],['Doga Kobo'],Card game,24.0,PG13,7814.0,1502,91958,12072,Winter,2016.0,13.127732225581243,One Season
11232,32093,Tanaka-kun wa Itsumo Kedaruge,7.9,"['Slice of Life', 'Comedy', 'School']",TV,12.0,Spring 2016,"['Bandai Visual', 'Dentsu', 'Frontier Works', 'Lantis', 'Shochiku', 'Mainichi Broadcasting System', 'Movic', 'Yahoo! Japan', 'Grooove']",['Sentai Filmworks'],['SILVER LINK.'],Web manga,24.0,PG13,681.0,446,314798,11109,Spring,2016.0,3.528929662831403,One Season
11233,32094,Reikenzan: Hoshikuzu-tachi no Utage,7.11,"['Comedy', 'Magic', 'Fantasy']",TV,12.0,Winter 2016,"['Haoliners Animation League', 'Tencent Animation & Comics']",,['Studio Deen'],Light novel,24.0,PG13,3170.0,1719,77012,3696,Winter,2016.0,4.799252064613307,One Season
11234,32105,Sousei no Onmyouji,7.32,"['Action', 'Supernatural', 'Romance', 'Fantasy', 'Shounen']",TV,50.0,Spring 2016,"['TV Tokyo', 'Nihon Ad Systems', 'TV Tokyo Music', 'Avex Pictures', 'Shueisha']",['Crunchyroll'],['Studio Pierrot'],Manga,24.0,PG13,2267.0,356,375693,44275,Spring,2016.0,11.784888193285475,Four or more Season
11257,32171,Ange Vierge,6.03,"['Adventure', 'Magic', 'Fantasy', 'School']",TV,12.0,Summer 2016,"['Sotsu', 'Sega', 'KlockWorx', 'Grooove']",,['SILVER LINK.'],Card game,23.0,R+,8086.0,2402,44646,5410,Summer,2016.0,12.117546924696502,One Season
11259,32175,Shounen Maid,7.3,"['Comedy', 'Shoujo', 'Slice of Life']",TV,12.0,Spring 2016,"['Kadokawa Shoten', 'TBS', 'DAX Production', 'Nippon Columbia', 'Sony Music Communications', 'Lawson', 'NichiNare']",['Funimation'],['8bit'],Manga,24.0,PG13,2346.0,1911,64512,4349,Spring,2016.0,6.7413814484126995,One Season
11260,32182,Mob Psycho 100,8.49,"['Action', 'Slice of Life', 'Comedy', 'Supernatural']",TV,12.0,Summer 2016,"['Warner Bros. Japan', 'KlockWorx', 'BS Fuji', 'Hakuhodo DY Music & Pictures', 'Shogakukan']","['Funimation', 'Crunchyroll']",['Bones'],Web manga,24.0,PG13,109.0,40,1255830,19213,Summer,2016.0,1.5299045252940286,One Season
11262,32189,Danganronpa 3: The End of Kibougamine Gakuen - Mirai-hen,7.36,"['Action', 'Mystery', 'Horror', 'Psychological']",TV,12.0,Summer 2016,,['Funimation'],['Lerche'],Game,24.0,R,2057.0,572,256160,6302,Summer,2016.0,2.460181136789507,One Season
11268,32212,Ensemble Stars!,6.83,"['Music', 'School']",TV,24.0,Summer 2019,"['Frontier Works', 'Movic', 'Happy Elements', 'Bandai Namco Arts']",['Funimation'],['David Production'],Game,23.0,PG13,4306.0,3018,29196,2485,Summer,2019.0,8.51143992327716,Two Season
11269,32214,Koukaku no Pandora,6.53,"['Action', 'Sci-Fi', 'Comedy', 'Ecchi']",TV,12.0,Winter 2016,"['Lantis', 'Rakuonsha', 'AT-X', 'KlockWorx']",['Funimation'],"['Studio Gokumi', 'AXsiZ']",Manga,24.0,PG13,5739.0,2549,39751,5177,Winter,2016.0,13.023571734044426,One Season
11281,32230,Xi You Ji,6.89,"['Adventure', 'Fantasy']",TV,52.0,,['CCTV Animation'],,,Novel,22.0,PG,4095.0,11925,545,70,,,12.844036697247708,Four or more Season
11287,32245,Kuromukuro,7.21,"['Action', 'Sci-Fi', 'Mecha']",TV,26.0,Spring 2016,"['Sotsu', 'Pony Canyon', 'AT-X', 'KlockWorx', 'Tokyo MX', 'Medicos Entertainment', 'Infinite']",['Ponycan USA'],['P.A. Works'],Original,24.0,R,2745.0,1291,110580,9121,Spring,2016.0,8.248327003074698,Two Season
11298,32262,Renai Boukun,6.7,"['Harem', 'Comedy', 'Supernatural', 'Romance', 'Ecchi', 'School']",TV,12.0,Spring 2017,"['TV Tokyo', 'Sotsu', 'Half H.P Studio', 'DIVE II Entertainment', 'Avex Pictures']",['Funimation'],['EMT Squared'],Web manga,23.0,PG13,4915.0,548,264610,19446,Spring,2017.0,7.348928611919428,One Season
11304,32271,Dies Irae,5.38,"['Action', 'Military', 'Super Power', 'Magic']",TV,11.0,Fall 2017,"['Genco', 'DMM pictures', 'Greenwood', 'My Theater D.D.', 'Brave Hearts', 'Crunchyroll SC Anime Fund']","['Funimation', 'Crunchyroll']",['A.C.G.T.'],Visual novel,23.0,R,9958.0,1272,113012,17612,Fall,2017.0,15.584185750185823,One Season
11309,32282,Shokugeki no Souma: Ni no Sara,8.21,"['Ecchi', 'School', 'Shounen']",TV,13.0,Summer 2016,"['Dentsu', 'Lantis', 'Mainichi Broadcasting System', 'KlockWorx', 'Showgate', 'Shueisha']",['Sentai Filmworks'],['J.C.Staff'],Manga,24.0,PG13,297.0,106,802974,7700,Summer,2016.0,0.9589351585480974,One Season
11320,32301,Active Raid: Kidou Kyoushuushitsu Dai Hachi Gakari 2nd,6.38,"['Sci-Fi', 'Comedy', 'Police', 'Mecha']",TV,12.0,Summer 2016,"['Sotsu', 'Magic Capsule', 'flying DOG', 'Orange', 'Fields']",,['Production IMS'],Original,24.0,PG13,6505.0,3809,18129,1177,Summer,2016.0,6.492360306690938,One Season
11324,32313,Concrete Revolutio: Choujin Gensou - The Last Song,7.05,"['Action', 'Sci-Fi', 'Mystery', 'Super Power', 'Demons', 'Supernatural', 'Drama', 'Fantasy']",TV,11.0,Spring 2016,"['Bandai Visual', 'Lantis', 'Tokyo MX', 'Animatic', 'Hakuhodo DY Media Partners', 'Anime Consortium Japan']",['Funimation'],['Bones'],Original,24.0,R+,3454.0,2974,30062,1252,Spring,2016.0,4.164726232452931,One Season
11339,32360,Qualidea Code,6.51,"['Action', 'Magic', 'Supernatural']",TV,12.0,Summer 2016,"['Aniplex', 'Marvelous', 'Delfi Sound', 'ABC Animation', 'Japan Sleeve']",,['A-1 Pictures'],Original,23.0,PG13,5831.0,1088,136345,10498,Summer,2016.0,7.699585610033371,One Season
