,MAL_ID,Name,Score,Genres,Type,Episodes,Premiered,Producers,Licensors,Studios,Source,Duration,Rating,Ranked,Popularity,Members,Dropped,Season,Year,DropRatio(%),RunLength
8866,23199,Durarara!!x2 Shou,8.03,"['Action', 'Mystery', 'Supernatural']",TV,12.0,Winter 2015,"['Aniplex', 'Square Enix', 'Mainichi Broadcasting System', 'Movic', 'ASCII Media Works']",['Aniplex of America'],['Shuka'],Light novel,24.0,R,506.0,344,388580,6169,Winter,2015.0,1.5875752740748366,One Season
8873,23233,Shinmai Maou no Testament,6.8,"['Action', 'Ecchi', 'Fantasy', 'Romance', 'Harem', 'Demons']",TV,12.0,Winter 2015,"['Kadokawa Shoten', 'AT-X', 'Nippon Columbia', 'Kadokawa Pictures Japan', 'KlockWorx', 'Mobcast']","['Funimation', 'Crunchyroll']",['Production IMS'],Light novel,23.0,R+,4428.0,261,476324,20676,Winter,2015.0,4.340742855703261,One Season
8882,23269,Hello!! Kiniro Mosaic,7.53,"['Slice of Life', 'Comedy', 'School', 'Seinen']",TV,12.0,Spring 2015,"['Genco', 'flying DOG', 'Showgate']",['Sentai Filmworks'],['Studio Gokumi'],4-koma manga,23.0,PG13,1491.0,1880,65635,1389,Spring,2015.0,2.116248952540565,One Season
8885,23277,Saenai Heroine no Sodatekata,7.54,"['Harem', 'Comedy', 'Romance', 'Ecchi', 'School']",TV,12.0,Winter 2015,"['Aniplex', 'Dentsu', 'Fuji TV', 'Half H.P Studio', 'Cospa', 'Fujipacific Music', 'Good Smile Company', 'Kyoraku Industrial Holdings', 'Kansai Telecasting', 'Fujimi Shobo']",['Aniplex of America'],['A-1 Pictures'],Light novel,23.0,PG13,1461.0,287,451172,13919,Winter,2015.0,3.0850762015373294,One Season
8959,23587,The iDOLM@STER Cinderella Girls,7.15,"['Comedy', 'Drama', 'Music']",TV,13.0,Winter 2015,"['Aniplex', 'Half H.P Studio', 'Nippon Columbia', 'Bandai Namco Games', 'Anime Consortium Japan', 'Cygames']",,['A-1 Pictures'],Game,24.0,PG13,3002.0,1944,63111,2772,Winter,2015.0,4.392261253981081,One Season
8972,23623,Non Non Biyori Repeat,8.18,"['Comedy', 'School', 'Seinen', 'Slice of Life']",TV,12.0,Summer 2015,"['TV Tokyo', 'Lantis']",['Sentai Filmworks'],['SILVER LINK.'],Manga,23.0,PG13,324.0,1037,142489,2251,Summer,2015.0,1.5797710700475125,One Season
9032,23847,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,8.27,"['Slice of Life', 'Comedy', 'Drama', 'Romance', 'School']",TV,13.0,Spring 2015,"['TBS', 'Marvelous AQL', 'NBCUniversal Entertainment Japan']",['Sentai Filmworks'],['feel.'],Light novel,24.0,PG13,253.0,124,713318,6608,Spring,2015.0,0.9263750529216984,One Season
9071,24011,Lance N' Masques,5.52,['Fantasy'],TV,12.0,Fall 2015,"['Pony Canyon', 'TBS', 'DAX Production', 'KlockWorx', 'Docomo Anime Store', 'NichiNare']",['Ponycan USA'],['Studio Gokumi'],Light novel,24.0,PG13,9622.0,2391,44874,9868,Fall,2015.0,21.99046218300129,One Season
9095,24133,Taimadou Gakuen 35 Shiken Shoutai,6.9,"['Action', 'Ecchi', 'Fantasy', 'Harem', 'Military', 'Romance', 'Supernatural']",TV,12.0,Fall 2015,"['KlockWorx', 'MAGES.', 'Glovision', 'Kadokawa Media House', 'Kadokawa', 'Heiwa']",['Discotek Media'],['SILVER LINK.'],Light novel,23.0,R,4037.0,603,239275,9921,Fall,2015.0,4.146275206352524,One Season
9134,24415,Kuroko no Basket 3rd Season,8.34,"['Comedy', 'Sports', 'School', 'Shounen']",TV,25.0,Winter 2015,"['Bandai Visual', 'Lantis', 'Nihon Ad Systems', 'Banpresto', 'Shueisha', 'BS11']",,['Production I.G'],Manga,24.0,PG13,193.0,232,506465,5320,Winter,2015.0,1.0504180940440109,Two Season
